check_id,avd_url,service,title,description,impact,remediation_cfn,remediation_tf,cfn_good_example,tf_good_example,links
AVD-AWS-0011,https://avd.aquasec.com/misconfig/aws/cloudfront/aws-0011/,cloudfront,,You should configure a Web Application Firewall in front of your CloudFront distribution. This will mitigate many types of attacks on your web application.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable WAF for the CloudFront distribution'],['Enable WAF for the CloudFront distribution'],"Resources:
  GoodExample:
    Type: AWS::CloudFront::Distribution
    Properties:
      DistributionConfig:
        DefaultCacheBehavior:
          TargetOriginId: target
          ViewerProtocolPolicy: https-only
        Enabled: true
        Logging:
          Bucket: logging-bucket
        Origins:
          - DomainName: https://some.domain
            Id: somedomain1
        WebACLId: waf_id","resource ""aws_cloudfront_distribution"" ""good_example"" {

  origin {
    domain_name = aws_s3_bucket.primary.bucket_regional_domain_name
    origin_id   = ""primaryS3""

    s3_origin_config {
      origin_access_identity = aws_cloudfront_origin_access_identity.default.cloudfront_access_identity_path
    }
  }

  origin {
    domain_name = aws_s3_bucket.failover.bucket_regional_domain_name
    origin_id   = ""failoverS3""

    s3_origin_config {
      origin_access_identity = aws_cloudfront_origin_access_identity.default.cloudfront_access_identity_path
    }
  }

  default_cache_behavior {
    target_origin_id = ""groupS3""
  }

  web_acl_id = ""waf_id""
}",https://docs.aws.amazon.com/waf/latest/developerguide/cloudfront-features.html
AVD-AWS-0012,https://avd.aquasec.com/misconfig/aws/cloudfront/aws-0012/,cloudfront,,"Plain HTTP is unencrypted and human-readable. This means that if a malicious actor was to eavesdrop on your connection, they would be able to see all of your data flowing back and forth.
You should use HTTPS, which is HTTP over an encrypted (TLS) connection, meaning eavesdroppers cannot read your traffic.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Only allow HTTPS for CloudFront distribution communication'],['Only allow HTTPS for CloudFront distribution communication'],"Resources:
  GoodExample:
    Type: AWS::CloudFront::Distribution
    Properties:
      DistributionConfig:
        DefaultCacheBehavior:
          TargetOriginId: target
          ViewerProtocolPolicy: https-only
        Enabled: true
        Logging:
          Bucket: logging-bucket
        Origins:
          - DomainName: https://some.domain
            Id: somedomain1
        WebACLId: waf_id","resource ""aws_cloudfront_distribution"" ""good_example"" {
  default_cache_behavior {
    viewer_protocol_policy = ""redirect-to-https""
  }
}",https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/using-https-cloudfront-to-s3-origin.html
AVD-AWS-0013,https://avd.aquasec.com/misconfig/aws/cloudfront/aws-0013/,cloudfront,,"You should not use outdated/insecure TLS versions for encryption. You should be using the latest TLS policies available.
Note: that setting *minimum_protocol_version = ""TLSv1.X""* is only possible when *cloudfront_default_certificate* is false (eg. you are not using the cloudfront.net domain name).
If *cloudfront_default_certificate* is true then the Cloudfront API will only allow setting *minimum_protocol_version = ""TLSv1""*, and setting it to any other value will result in a perpetual diff in your *terraform plan*'s.
The only option when using the cloudfront.net domain name is to ignore this rule.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Use the most modern TLS/SSL policies available'],['Use the most modern TLS/SSL policies available'],"Resources:
  GoodExample:
    Type: AWS::CloudFront::Distribution
    Properties:
      DistributionConfig:
        DefaultCacheBehavior:
          TargetOriginId: target
          ViewerProtocolPolicy: https-only
        Enabled: true
        Logging:
          Bucket: logging-bucket
        Origins:
          - DomainName: https://some.domain
            Id: somedomain1
        ViewerCertificate:
          MinimumProtocolVersion: TLSv1.2_2025","resource ""aws_cloudfront_distribution"" ""good_example"" {
  viewer_certificate {
    cloudfront_default_certificate = false
    minimum_protocol_version       = ""TLSv1.2_2025""
  }
}",https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/secure-connections-supported-viewer-protocols-ciphers.html | https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/distribution-web-values-specify.html#DownloadDistValuesGeneral
AVD-AWS-0014,https://avd.aquasec.com/misconfig/aws/cloudtrail/aws-0014/,cloudtrail,,"Activity could be happening in your account in a different region. When creating Cloudtrail in the AWS Management Console the trail is configured by default to be multi-region, this isn't the case with the Terraform resource. Cloudtrail should cover the full AWS account to ensure you can track changes in regions you are not actively operating in.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable Cloudtrail in all regions'],['Enable Cloudtrail in all regions'],"Resources:
  GoodExample:
    Type: AWS::CloudTrail::Trail
    Properties:
      IsLogging: true
      IsMultiRegionTrail: true
      S3BucketName: CloudtrailBucket
      S3KeyPrefix: /trailing
      TrailName: Cloudtrail","resource ""aws_cloudtrail"" ""good_example"" {
  is_multi_region_trail = true
}",https://docs.aws.amazon.com/awscloudtrail/latest/userguide/receive-cloudtrail-log-files-from-multiple-regions.html
AVD-AWS-0015,https://avd.aquasec.com/misconfig/aws/cloudtrail/aws-0015/,cloudtrail,,"Using AWS managed keys does not allow for fine grained control.  Using Customer managed keys provides comprehensive control over cryptographic keys, enabling management of policies, permissions, and rotation, thus enhancing security and compliance measures for sensitive data and systems.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Use Customer managed key'],['Use Customer managed key'],"Resources:
  GoodExample:
    Type: AWS::CloudTrail::Trail
    Properties:
      IsLogging: true
      IsMultiRegionTrail: true
      KmsKeyId: alias/CloudtrailKey
      S3BucketName: CloudtrailBucket
      S3KeyPrefix: /trailing
      TrailName: Cloudtrail","resource ""aws_kms_key"" ""trail"" {
  enable_key_rotation = true
}
resource ""aws_kms_alias"" ""trail"" {
  name          = ""alias/trail""
  target_key_id = aws_kms_key.trail.key_id
}

resource ""aws_cloudtrail"" ""good_example"" {
  kms_key_id = aws_kms_alias.trail.arn
}",https://docs.aws.amazon.com/awscloudtrail/latest/userguide/encrypting-cloudtrail-log-files-with-aws-kms.html | https://docs.aws.amazon.com/kms/latest/developerguide/concepts.html#key-mgmt
AVD-AWS-0016,https://avd.aquasec.com/misconfig/aws/cloudtrail/aws-0016/,cloudtrail,,Illicit activity could be removed from the logs. Log validation should be activated on Cloudtrail logs to prevent the tampering of the underlying data in the S3 bucket. It is feasible that a rogue actor compromising an AWS account might want to modify the log data to remove trace of their actions.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Turn on log validation for Cloudtrail'],['Turn on log validation for Cloudtrail'],"Resources:
  GoodExample:
    Type: AWS::CloudTrail::Trail
    Properties:
      EnableLogFileValidation: true
      IsLogging: true
      IsMultiRegionTrail: true
      S3BucketName: CloudtrailBucket
      S3KeyPrefix: /trailing
      TrailName: Cloudtrail","resource ""aws_cloudtrail"" ""good_example"" {
  enable_log_file_validation = true
}",https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-log-file-validation-intro.html
AVD-AWS-0017,https://avd.aquasec.com/misconfig/aws/cloudwatch/aws-0017/,cloudwatch,,"CloudWatch log groups are encrypted by default, however, to get the full benefit of controlling key rotation and other KMS aspects a KMS CMK should be used.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable CMK encryption of CloudWatch Log Groups'],['Enable CMK encryption of CloudWatch Log Groups'],"Resources:
  GoodExample:
    Type: AWS::Logs::LogGroup
    Properties:
      KmsKeyId: arn:aws:kms:us-west-2:111122223333:key/lambdalogging
      LogGroupName: aws/lambda/goodExample
      RetentionInDays: 30","resource ""aws_kms_key"" ""cloudwatch"" {
  enable_key_rotation = true
}

resource ""aws_kms_alias"" ""cloudwatch"" {
  name          = ""alias/cloudwatch""
  target_key_id = aws_kms_key.cloudwatch.key_id
}
resource ""aws_cloudwatch_log_group"" ""good_example"" {
  name = ""good_example""

  kms_key_id = aws_kms_alias.cloudwatch.arn
}",https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/encrypt-log-data-kms.html
AVD-AWS-0018,https://avd.aquasec.com/misconfig/aws/codebuild/aws-0018/,codebuild,All artifacts produced by your CodeBuild project pipeline should always be encrypted,,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable encryption for CodeBuild project artifacts'],['Enable encryption for CodeBuild project artifacts'],"Resources:
  GoodProject:
    Type: AWS::CodeBuild::Project
    Properties:
      Artifacts:
        EncryptionDisabled: false
      SecondaryArtifacts:
        - EncryptionDisabled: false","resource ""aws_codebuild_project"" ""good_example"" {
  artifacts {}
}",https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-properties-codebuild-project-artifacts.html | https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-resource-codebuild-project.html
AVD-AWS-0019,https://avd.aquasec.com/misconfig/aws/config/aws-0019/,config,,"Sources that aren't covered by the aggregator are not include in the configuration. The configuration aggregator should be configured with all_regions for the source.
This will help limit the risk of any unmonitored configuration in regions that are thought to be unused.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Set the aggregator to cover all regions'],['Set the aggregator to cover all regions'],"Resources:
  GoodExample:
    Type: AWS::Config::ConfigurationAggregator
    Properties:
      AccountAggregationSources:
        - AllAwsRegions: true
      ConfigurationAggregatorName: GoodAccountLevelAggregation","resource ""aws_config_configuration_aggregator"" ""good_example"" {
  name = ""example""

  account_aggregation_source {
    account_ids = [""123456789012""]
    all_regions = true
  }
}",https://docs.aws.amazon.com/config/latest/developerguide/aggregate-data.html
AVD-AWS-0020,https://avd.aquasec.com/misconfig/aws/documentdb/aws-0020/,documentdb,,Document DB does not have auditing by default. To ensure that you are able to accurately audit the usage of your DocumentDB cluster you should enable export logs.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable export logs'],['Enable export logs'],"Resources:
  GoodExample:
    Type: AWS::DocDB::DBCluster
    Properties:
      DBClusterIdentifier: sample-cluster
      DBClusterParameterGroupName: default.docdb3.6
      EnableCloudwatchLogsExports:
        - audit
        - profiler

  InstanceInstanceExample:
    Type: AWS::DocDB::DBInstance
    Properties:
      DBClusterIdentifier: sample-cluster
      DBInstanceClass: db.r5.large
      DBInstanceIdentifier: sample-cluster-instance-0","resource ""aws_docdb_cluster"" ""good_example"" {
  cluster_identifier              = ""my-docdb-cluster""
  master_username                 = ""foo""
  master_password                 = ""mustbeeightchars""
  enabled_cloudwatch_logs_exports = ""audit""
}",https://docs.aws.amazon.com/documentdb/latest/developerguide/event-auditing.html
AVD-AWS-0021,https://avd.aquasec.com/misconfig/aws/documentdb/aws-0021/,documentdb,,"Unencrypted sensitive data is vulnerable to compromise. Encryption of the underlying storage used by DocumentDB ensures that if their is compromise of the disks, the data is still protected.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable storage encryption'],['Enable storage encryption'],"Resources:
  GoodExample:
    Type: AWS::DocDB::DBCluster
    Properties:
      DBClusterIdentifier: sample-cluster
      DBClusterParameterGroupName: default.docdb3.6
      StorageEncrypted: true

  InstanceInstanceExample:
    Type: AWS::DocDB::DBInstance
    Properties:
      DBClusterIdentifier: sample-cluster
      DBInstanceClass: db.r5.large
      DBInstanceIdentifier: sample-cluster-instance-0","resource ""aws_docdb_cluster"" ""good_example"" {
  cluster_identifier = ""my-docdb-cluster""
  master_username    = ""foo""
  master_password    = ""mustbeeightchars""
  storage_encrypted  = true
}",https://docs.aws.amazon.com/documentdb/latest/developerguide/encryption-at-rest.html
AVD-AWS-0022,https://avd.aquasec.com/misconfig/aws/documentdb/aws-0022/,documentdb,,Using AWS managed keys does not allow for fine grained control. Encryption using AWS keys provides protection for your DocumentDB underlying storage. To increase control of the encryption and manage factors like rotation use customer managed keys.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable encryption using customer managed keys'],['Enable encryption using customer managed keys'],"Resources:
  GoodExample:
    Type: AWS::DocDB::DBCluster
    Properties:
      DBClusterIdentifier: sample-cluster
      DBClusterParameterGroupName: default.docdb3.6
      KmsKeyId: your-kms-key-id

  InstanceInstanceExample:
    Type: AWS::DocDB::DBInstance
    Properties:
      DBClusterIdentifier: sample-cluster
      DBInstanceClass: db.r5.large
      DBInstanceIdentifier: sample-cluster-instance-0","resource ""aws_kms_key"" ""docdb_encryption"" {
  enable_key_rotation = true
}

resource ""aws_docdb_cluster"" ""docdb"" {
  cluster_identifier = ""my-docdb-cluster""
  master_username    = ""foo""
  master_password    = ""mustbeeightchars""
  kms_key_id         = aws_kms_key.docdb_encryption.arn
}",https://docs.aws.amazon.com/documentdb/latest/developerguide/security.encryption.ssl.public-key.html
AVD-AWS-0023,https://avd.aquasec.com/misconfig/aws/dynamodb/aws-0023/,dynamodb,,Data can be freely read if compromised. Amazon DynamoDB Accelerator (DAX) encryption at rest provides an additional layer of data protection by helping secure your data from unauthorized access to the underlying storage.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable encryption at rest for DAX Cluster'],['Enable encryption at rest for DAX Cluster'],"Resources:
  GoodExample:
    Type: AWS::DAX::Cluster
    Properties:
      ClusterName: MyDAXCluster
      IAMRoleARN: arn:aws:iam::111122223333:role/DaxAccess
      NodeType: dax.r3.large
      ReplicationFactor: 1
      SSESpecification:
        SSEEnabled: true","resource ""aws_dax_cluster"" ""good_example"" {
  server_side_encryption {
    enabled = true // enabled server side encryption
  }
}",https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/DAXEncryptionAtRest.html | https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-resource-dax-cluster.html
AVD-AWS-0024,https://avd.aquasec.com/misconfig/aws/dynamodb/aws-0024/,dynamodb,,"DynamoDB tables should be protected against accidentally or malicious write/delete actions by ensuring that there is adequate protection.
By enabling point-in-time-recovery you can restore to a known point in the event of loss of data.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",,['Enable point in time recovery'],,"resource ""aws_dynamodb_table"" ""good_example"" {
  name             = ""example""
  hash_key         = ""TestTableHashKey""
  billing_mode     = ""PAY_PER_REQUEST""
  stream_enabled   = true
  stream_view_type = ""NEW_AND_OLD_IMAGES""

  attribute {
    name = ""TestTableHashKey""
    type = ""S""
  }

  point_in_time_recovery {
    enabled = true
  }
}",https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/PointInTimeRecovery.html
AVD-AWS-0025,https://avd.aquasec.com/misconfig/aws/dynamodb/aws-0025/,dynamodb,,"Using AWS managed keys does not allow for fine grained control. DynamoDB tables are encrypted by default using AWS managed encryption keys. To increase control of the encryption and control the management of factors like key rotation, use a Customer Managed Key.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",,['Enable server side encryption with a customer managed key'],,"resource ""aws_kms_key"" ""dynamo_db_kms"" {
  enable_key_rotation = true
}

resource ""aws_dynamodb_table"" ""good_example"" {
  name = ""example""
  server_side_encryption {
    enabled     = true
    kms_key_arn = aws_kms_key.dynamo_db_kms.key_id
  }
}",https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/EncryptionAtRest.html
AVD-AWS-0026,https://avd.aquasec.com/misconfig/aws/ec2/aws-0026/,ec2,,"By enabling encryption on EBS volumes you protect the volume, the disk I/O and any derived snapshots from compromise if intercepted.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable encryption of EBS volumes'],['Enable encryption of EBS volumes'],"Resources:
  GoodExample:
    DeletionPolicy: Snapshot
    Type: AWS::EC2::Volume
    Properties:
      Encrypted: true","resource ""aws_ebs_volume"" ""good_example"" {
  encrypted = true
}",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html
AVD-AWS-0027,https://avd.aquasec.com/misconfig/aws/ec2/aws-0027/,ec2,,Encryption using AWS keys provides protection for your EBS volume. To increase control of the encryption and manage factors like rotation use customer managed keys.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable encryption using customer managed keys'],['Enable encryption using customer managed keys'],"Resources:
  GoodExample:
    Type: AWS::EC2::Volume
    Properties:
      KmsKeyId: alias/volumeEncrypt","resource ""aws_kms_key"" ""ebs_encryption"" {
  enable_key_rotation = true
}

resource ""aws_ebs_volume"" ""example"" {
  kms_key_id = aws_kms_key.ebs_encryption.arn
}",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html
AVD-AWS-0028,https://avd.aquasec.com/misconfig/aws/ec2/aws-0028/,ec2,,"IMDS v2 (Instance Metadata Service) introduced session authentication tokens which improve security when talking to IMDS.
By default <code>aws_instance</code> resource sets IMDS session auth tokens to be optional.
To fully protect IMDS you need to enable session tokens by using <code>metadata_options</code> block and its <code>http_tokens</code> variable set to <code>required</code>.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",,['Enable HTTP token requirement for IMDS'],,"resource ""aws_instance"" ""good_example"" {
  ami           = ""ami-005e54dee72cc1d00""
  instance_type = ""t2.micro""
  metadata_options {
    http_tokens = ""required""
  }
}",https://aws.amazon.com/blogs/security/defense-in-depth-open-firewalls-reverse-proxies-ssrf-vulnerabilities-ec2-instance-metadata-service
AVD-AWS-0029,https://avd.aquasec.com/misconfig/aws/ec2/aws-0029/,ec2,,EC2 instance data is used to pass start up information into the EC2 instance. This userdata must not contain access key credentials. Instead use an IAM Instance Profile assigned to the instance to grant access to other AWS Services.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Remove sensitive data from the EC2 instance user-data'],['Remove sensitive data from the EC2 instance user-data'],"Resources:
  GoodExample:
    Type: AWS::EC2::Instance
    Properties:
      BlockDeviceMappings:
        - DeviceName: /dev/sdm
          Ebs:
            DeleteOnTermination: ""false""
            Iops: ""200""
            VolumeSize: ""20""
            VolumeType: io1
        - DeviceName: /dev/sdk
      ImageId: ami-79fd7eee
      KeyName: testkey
      UserData: export SSM_PATH=/database/creds","resource ""aws_instance"" ""good_example"" {
  ami           = ""ami-12345667""
  instance_type = ""t2.small""

  user_data = <<EOF
	 export GREETING=hello
 EOF
}",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instancedata-add-user-data.html
AVD-AWS-0030,https://avd.aquasec.com/misconfig/aws/ecr/aws-0030/,ecr,,Repository image scans should be enabled to ensure vulnerable software can be discovered and remediated as soon as possible.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable ECR image scanning'],['Enable ECR image scanning'],"Resources:
  GoodExample:
    Type: AWS::ECR::Repository
    Properties:
      ImageScanningConfiguration:
        ScanOnPush: true
      RepositoryName: test-repository","resource ""aws_ecr_repository"" ""good_example"" {
  name = ""bar""
  image_scanning_configuration {
    scan_on_push = true
  }
}",https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-scanning.html
AVD-AWS-0031,https://avd.aquasec.com/misconfig/aws/ecr/aws-0031/,ecr,,"ECR images should be set to IMMUTABLE to prevent code injection through image mutation.
This can be done by setting <code>image_tag_mutability</code> to <code>IMMUTABLE</code>","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Only use immutable images in ECR'],['Only use immutable images in ECR'],"Resources:
  GoodExample:
    Type: AWS::ECR::Repository
    Properties:
      ImageTagMutability: IMMUTABLE
      RepositoryName: test-repository","resource ""aws_ecr_repository"" ""good_example"" {
  name                 = ""bar""
  image_tag_mutability = ""IMMUTABLE""
}",https://sysdig.com/blog/toctou-tag-mutability/
AVD-AWS-0032,https://avd.aquasec.com/misconfig/aws/ecr/aws-0032/,ecr,Allowing public access to the ECR repository risks leaking sensitive of abusable information,,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Do not allow public access in the policy'],['Do not allow public access in the policy'],"Resources:
  GoodExample:
    Type: AWS::ECR::Repository
    Properties:
      RepositoryName: test-repository
      RepositoryPolicyText:
        Statement:
          - Action:
              - ecr:PutImage
            Effect: Allow
            Principal:
              AWS:
                - arn:aws:iam::123456789012:user/Alice
            Sid: AllowPushPull
        Version: ""2012-10-17""","resource ""aws_ecr_repository"" ""example"" {
  name = ""bar""
}

resource ""aws_ecr_repository_policy"" ""example"" {
  repository = aws_ecr_repository.example.name
  policy     = <<EOF
 {
     ""Version"": ""2008-10-17"",
     ""Statement"": [
         {
             ""Sid"": ""new policy"",
             ""Effect"": ""Allow"",
             ""Principal"": ""arn:aws:iam::${data.aws_caller_identity.current.account_id}:root"",
             ""Action"": [
                 ""ecr:SetRepositoryPolicy""
             ]
         }
     ]
 }
 EOF
}",https://docs.aws.amazon.com/AmazonECR/latest/public/public-repository-policies.html
